职位,公司名,地点,薪酬,发布时间
有色行业分析师,深圳市裕晋投资有限公司,深圳,1-1.5万/月,11-14
生物医药行业证券分析师,深圳市裕晋投资有限公司,深圳,1-1.5万/月,11-14
研究员（计算机专业，海归/硕士高薪，福利好）,深圳市裕晋投资有限公司,深圳-福田区,1-1.5万/月,11-14
公民教育生活文献节目复合载体编辑室主任、编辑、助编,上海荧星影视艺术有限公司,上海-长宁区,0.2-1万/月,11-14
编辑（数字编辑方向）,古联（北京）数字传媒科技有限公司,北京-石景山区,0.8-1万/月,11-14
编辑,古联（北京）数字传媒科技有限公司,北京-石景山区,0.8-1万/月,11-14
利率研究员,申万菱信基金管理有限公司,上海,1.5-2万/月,11-14
信用研究员,申万菱信基金管理有限公司,上海,1.5-2万/月,11-14
高级分析师,东方微银网络信息（北京）有限公司,北京-海淀区,1.5-2万/月,11-14
分析师,中证鹏元资信评估股份有限公司,深圳-福田区,10-12万/年,11-14
ABS Quant Analyst,瑞银企业管理（中国）有限公司,上海-浦东新区,,11-14
风控总监,北京千佳圆投资基金管理有限公司,北京-朝阳区,3-5万/月,11-14
投后总监,腾邦国际商业服务集团股份有限公司,深圳-福田区,2.5-3.5万/月,11-14
投后经理,腾邦国际商业服务集团股份有限公司,深圳-福田区,1-2万/月,11-14
研究岗（战略研究方向）,华宝证券有限责任公司,上海,1-2万/月,11-14
研究岗（宏观策略研究方向）,华宝证券有限责任公司,上海,1-2万/月,11-14
研究岗（私募研究方向）,华宝证券有限责任公司,上海,1-2万/月,11-14
投资服务-财务尽调（科创创投）,力合科创集团有限公司,深圳-南山区,1-1.5万/月,11-14
投资总监（科创创投）,力合科创集团有限公司,深圳-南山区,1.5-2万/月,11-14
投资服务经理（力合创投）,力合科创集团有限公司,深圳-南山区,1.5-2万/月,11-14
投资经理（力合创投）,力合科创集团有限公司,深圳,1-1.5万/月,11-14
场外期权合规岗,浙商期货有限公司,杭州-下城区,6-8千/月,11-14
原油研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
有色金属研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
农产品研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
股指国债期货研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
化工商品研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
黑色商品研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
宏观研究员,浙商期货有限公司,杭州-下城区,0.5-1万/月,11-14
期权风控岗,浙商期货有限公司,杭州-下城区,0.8-1万/月,11-14
期权交易员,浙商期货有限公司,杭州-下城区,0.6-1万/月,11-14
客服岗,浙商期货有限公司,杭州-下城区,5-8千/月,11-14
投资助理,远东宏信有限公司/远东国际租赁有限公司,上海-浦东新区,10-15万/年,11-14
战略研究经理,远东宏信有限公司/远东国际租赁有限公司,上海,1.5-2.5万/月,11-14
TEG13-OCR算法工程师（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
MIG09-知识图谱高级算法研究员,深圳市腾讯计算机系统有限公司,深圳,,11-14
21557-音视频实验室视频网络专家（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG11-人工智能研究员（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
MIG16-自动驾驶融合定位(北京),深圳市腾讯计算机系统有限公司,北京,,11-14
MIG16-自动驾驶融合感知(北京),深圳市腾讯计算机系统有限公司,北京,,11-14
MIG16-自动驾驶机器人-导航算法(北京),深圳市腾讯计算机系统有限公司,北京,,11-14
MIG16-自动驾驶产品经理(北京),深圳市腾讯计算机系统有限公司,北京,,11-14
WXG02-122 语音前端研究员（北京/上海）,深圳市腾讯计算机系统有限公司,北京,,11-14
TEG11-推荐系统算法研发工程师（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
SA-腾讯社交广告自然语言处理高级研究员（微信广告 深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SA-腾讯社交广告排序算法研究员（微信广告 深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG02-数据挖掘工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
TEG03-自然语言处理高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG11-数据挖掘高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
20503-自动驾驶研发工程师,深圳市腾讯计算机系统有限公司,深圳,,11-14
MIG03-AI评价优化高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
WXG03-122 微信开放平台算法工程师（广州）,深圳市腾讯计算机系统有限公司,广州,,11-14
MIG12-5G业务研究员（深圳/北京）,深圳市腾讯计算机系统有限公司,深圳,,11-14
TEG03-数据挖掘工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
21557-音视频质量评估算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
MIG15-语音识别算法研究员,深圳市腾讯计算机系统有限公司,北京,,11-14
TEG03-高级算法研发工程师（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
18425-自然语言处理高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
20503-AI应用后端开发工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG11-推荐算法高级研究员（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
AQ-数据安全研究合作经理（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
AQ-法律研究合作经理（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
AQ-刑事法律研究合作经理（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
TEG13-计算机视觉算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
WXG08-212 小程序搜索开放高级运营经理（广州）,深圳市腾讯计算机系统有限公司,广州,,11-14
TEG03-数据挖掘工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
TEG03-算法专家（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG08-推荐算法工程师(深圳),深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG02-腾讯云AI算法高级研究员（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
SNG04-内容平台视觉算法研究员（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
21557-音视频实验室视频内核专家（深圳/北京/美国）,深圳市腾讯计算机系统有限公司,深圳,,11-14
AQ-法律合作研究经理（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
22989-AI高级应用软件工程师（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
19332-自然语言处理工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
WXG06-122 微信支付知识发现高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-腾讯音乐自然语言处理工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-音频算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-腾讯音乐视觉算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
21557-音视频实验室音频算法专家（深圳/北京/美国）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-腾讯音乐多媒体AI研究员（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-QQ音乐/全民k歌搜索算法高级工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
TEG13-语音唤醒算法工程师（北京）,深圳市腾讯计算机系统有限公司,北京,,11-14
SNG02-大数据研发组长（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-推荐算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
WXG08-122 微信推荐数据挖掘工程师PW（广州）,深圳市腾讯计算机系统有限公司,广州,,11-14
SNG04-内容平台高级策略算法工程师-NLP方向(上海),深圳市腾讯计算机系统有限公司,上海,,11-14
SNG16-腾讯音乐音频算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-腾讯音乐音频机器学习算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG16-腾讯音乐音质检测与评估算法工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
18436-资产证券化云平台金融风控专家,深圳市腾讯计算机系统有限公司,深圳,,11-14
25926-NLP工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SA-腾讯社交广告图像视觉算法研究员（QQ广告 深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
20503-深度学习视频算法研究员（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG04-QQ看点算法后台高级开发工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG04-QQ看点内容AI算法工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG08-图像算法岗位（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG08-深度学习（图像处理）研发工程师（上海）,深圳市腾讯计算机系统有限公司,上海,,11-14
SNG11-高级NLP研究员（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
TEG02-运营质量工程师（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
21882-医学NLP研究员,深圳市腾讯计算机系统有限公司,北京,,11-14
21882-医学NLP研究员,深圳市腾讯计算机系统有限公司,深圳,,11-14
15851-游戏人工智能研究员（深圳）,深圳市腾讯计算机系统有限公司,深圳,,11-14
SNG04-内容算法工程师(深圳),深圳市腾讯计算机系统有限公司,深圳,,11-14
多媒体音视频开发工程师（校招）,浙江齐聚科技有限公司（原呱呱视频）,北京-东城区,1-1.5万/月,11-13
编辑（应届生岗位）,科学出版社职教技术出版中心,北京-海淀区,6-8万/年,11-13
学前教育策划编辑,科学出版社职教技术出版中心,北京-海淀区,8-10万/年,11-13
编辑出版岗,上海期货与衍生品研究院有限责任公司,异地招聘,2-2.5万/月,11-13
战略研究与管理岗,上海期货与衍生品研究院有限责任公司,异地招聘,30-40万/年,11-13
高级融资总监,深圳仙瞳资本管理有限公司,深圳-南山区,4-5万/月,11-13
生物医疗投资基金投资经理,深圳仙瞳资本管理有限公司,深圳-南山区,1-2万/月,11-13
高级投资经理(偏财务方向),深圳仙瞳资本管理有限公司,深圳-南山区,1-1.5万/月,11-13
商务采购经理,深圳市中电数通智慧安全科技股份有限公司,深圳-南山区,1-3万/月,11-13
副总裁（商业保理公司）,上实融资租赁有限公司,上海-虹口区,60-100万/年,11-13
总裁（商业保理公司）,上实融资租赁有限公司,上海-虹口区,100万以上/年,11-13
融资租赁项目总监（北京）,上实融资租赁有限公司,北京,50-80万/年,11-13
战略研究经理,PPmoney万惠集团,广州,1.5-2万/月,11-13
（低幼中心）文字编辑,中国少年儿童新闻出版总社,北京-朝阳区,6-8千/月,11-13
（低幼中心）营销编辑,中国少年儿童新闻出版总社,北京-朝阳区,6-8千/月,11-13
地产基金投资经理,同策房产咨询股份有限公司,上海-静安区,30-40万/年,11-13
数据开发工程师,九坤投资（北京）有限公司,北京-海淀区,2-2.5万/月,11-13
量化实现工程师（上海）,九坤投资（北京）有限公司,异地招聘,35-60万/年,11-13
量化策略分析师,九坤投资（北京）有限公司,异地招聘,25-60万/年,11-13
量化策略分析师,九坤投资（北京）有限公司,北京-海淀区,25-60万/年,11-13
国资业务总监,中企云链（北京）金融信息服务有限公司,北京-丰台区,1-1.5万/月,11-13
募资经理（金融机构、上市公司方向）,中企云链（北京）金融信息服务有限公司,北京-丰台区,1.5-2万/月,11-13
募资经理（央企、各地方国有投资平台）,中企云链（北京）金融信息服务有限公司,北京-丰台区,1.5-2万/月,11-13
高级投资经理,中企云链（北京）金融信息服务有限公司,北京-丰台区,2-3万/月,11-13
产品经理,中企云链（北京）金融信息服务有限公司,北京-丰台区,1.5-2万/月,11-13
信用研究员,第一创业证券股份有限公司,深圳-福田区,30-45万/年,11-13
ABS承做岗,上海分公司,北京-西城区,1.5-2.5万/月,11-13
ABS承揽岗,上海分公司,北京-西城区,1.5-2.5万/月,11-13
高级投资经理（直投-北京）,第一创业证券股份有限公司,北京-西城区,1.5-2万/月,11-13
投资经理,第一创业证券股份有限公司,深圳-福田区,1.5-2.5万/月,11-13
做市业务风险管理岗,第一创业证券股份有限公司,深圳,1-2万/月,11-13
并购业务岗,第一创业证券股份有限公司,深圳-福田区,2.5-5万/月,11-13
